hid,geo1,geo2,ea,urbrur,hhsize,statocc,rooms,bedrooms,floor,walls,roof,water,piped_water,toilet,flush_toilet,electricity,cook_fuel,phone,cell,car,bicycle,motorcycle,refrigerator,tv,radio,bank,deaths_12m,exp_01,exp_02,exp_03,exp_04,exp_05,exp_06,exp_07,exp_08,exp_09,exp_10,exp_11,exp_12,tot_exp,tot_food,share_food,pc_exp,quint_nat,quint_urb,quint_rur,hhweight,popweight
549af2accf3,2,25,25005,1,7,1,4,1,1,2,5,42,0,31,0,1,4,0,0,0,0,0,0,0,0,0,1,7542,194,275,921,361,302,548,14,176,55,67,99,10554,7542,0.7149999737739563,1507.7142333984375,2,,2,418.1933232323232,2927.3532626262627
55dc2a62508,2,25,25002,2,4,1,7,4,6,3,1,11,1,11,1,1,1,1,1,1,0,0,1,1,0,1,0,7131,171,3358,13980,3242,1144,8451,2822,2387,6595,1418,3259,53958,7131,0.13199999928474426,13489.5,5,5,,466.8641877702285,1867.456751080914
57f3a39c337,2,25,25002,2,4,1,3,2,6,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,3753,56,1241,5128,1229,472,3166,1404,787,1931,785,1149,21101,3753,0.17800000309944153,5275.25,5,4,,466.8641877702285,1867.456751080914
596630d885f,2,25,25043,1,2,1,4,1,2,3,5,71,0,11,1,1,2,1,1,1,0,1,1,1,1,1,0,5846,165,1188,9277,1817,717,7697,2313,814,391,864,2635,33724,5846,0.17299999296665192,16862.0,5,,5,279.40427272727277,558.8085454545455
5dbc8fceb51,2,25,25002,2,4,1,5,3,6,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,4593,80,1687,7159,1654,679,4335,1842,1138,3263,852,1542,28824,4593,0.1589999943971634,7206.0,5,5,,466.8641877702285,1867.456751080914
60e7b93c0e6,2,25,25010,1,5,1,3,1,2,3,5,21,0,13,1,1,4,0,0,0,0,0,0,0,0,0,0,4189,70,336,2571,244,233,219,12,68,310,116,380,8748,4189,0.4790000021457672,1749.5999755859375,2,,3,279.40427272727277,1397.0213636363637
613122b73cf,2,25,25002,2,2,1,3,2,6,3,1,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,1893,46,607,3963,651,277,2654,624,419,285,567,728,12714,1893,0.14900000393390656,6357.0,5,5,,466.8641877702285,933.728375540457
62e9e19cc55,2,25,25010,1,7,1,2,1,1,2,7,43,0,31,0,0,4,0,1,0,0,0,0,0,1,0,0,8853,231,415,686,318,153,756,242,275,174,149,92,12344,8853,0.7170000076293945,1763.4285888671875,2,,3,279.40427272727277,1955.8299090909095
65cb8451e05,2,25,25043,1,2,1,5,3,6,3,5,11,1,11,1,1,2,1,1,1,1,0,1,1,1,1,0,5759,112,1085,8980,2278,417,3051,1668,477,719,1074,1516,27136,5759,0.21199999749660492,13568.0,5,,5,279.40427272727277,558.8085454545455
6cc5ffe64e1,2,25,25010,1,5,1,2,1,1,7,5,96,0,31,0,1,4,0,1,0,0,0,0,0,1,0,0,4085,89,335,481,334,183,311,110,132,146,166,122,6494,4085,0.6290000081062317,1298.800048828125,1,,2,279.40427272727277,1397.0213636363637
71ecab6ffb8,2,25,25031,1,6,1,2,1,1,4,5,21,0,31,0,1,3,0,1,0,0,0,0,1,1,1,0,5497,96,710,882,772,365,593,357,412,403,425,324,10836,5497,0.5070000290870667,1806.0,2,,3,470.23921717171726,2821.4353030303037
73937374101,2,25,25010,1,7,1,1,1,1,5,7,21,0,21,2,1,4,0,0,0,0,1,1,1,0,0,0,5579,37,379,1622,559,81,204,48,95,205,820,527,10156,5579,0.5490000247955322,1450.857177734375,2,,2,279.40427272727277,1955.8299090909095
74213bd5203,2,25,25002,2,3,1,5,3,6,3,1,11,1,11,1,1,2,1,0,1,0,0,1,1,1,1,0,3042,53,906,5961,1081,399,2806,1132,668,1268,544,983,18843,3042,0.16099999845027924,6281.0,5,5,,466.8641877702285,1400.5925633106856
7435d5e88b2,2,25,25005,1,6,1,1,1,1,3,5,43,0,31,0,0,6,0,0,0,0,0,0,0,0,0,0,3748,534,509,728,546,159,241,24,86,197,141,192,7105,3748,0.527999997138977,1184.1666259765625,1,,1,418.1933232323232,2509.1599393939396
765912476fe,2,25,25031,1,5,1,1,1,1,5,7,32,0,31,0,0,4,0,1,0,1,0,0,0,1,0,0,5789,229,590,413,501,124,410,349,145,136,234,242,9162,5789,0.6320000290870667,1832.4000244140625,2,,3,470.23921717171726,2351.1960858585862
779323f2409,2,25,25005,1,5,1,4,2,1,2,8,43,0,23,2,0,4,0,1,0,0,0,0,0,1,0,0,5484,162,585,1444,381,156,430,247,189,313,162,321,9874,5484,0.5550000071525574,1974.800048828125,2,,3,418.1933232323232,2090.966616161616
77b14bacdc6,2,25,25002,2,5,1,3,3,6,3,1,71,0,11,1,1,2,1,1,1,1,1,1,1,1,1,0,5309,67,1622,5979,1199,580,3811,1422,766,2604,1033,1411,25803,5309,0.20600000023841858,5160.60009765625,5,4,,466.8641877702285,2334.3209388511427
77d0eaab3dd,2,25,25005,1,6,1,2,2,1,2,8,43,0,23,2,0,4,0,1,0,0,0,0,0,0,0,0,5466,84,561,1203,321,140,250,138,136,290,200,177,8966,5466,0.6100000143051147,1494.3333740234375,2,,2,418.1933232323232,2509.1599393939396
7aadcf4f28a,2,25,25002,2,3,2,2,2,6,3,1,11,1,11,1,1,2,0,1,1,1,0,1,1,1,1,0,2873,40,964,3906,646,360,2535,682,455,941,625,966,14993,2873,0.19200000166893005,4997.66650390625,5,4,,466.8641877702285,1400.5925633106856
7d049609788,2,25,25043,1,2,3,4,2,2,3,1,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,2568,39,595,3743,541,346,2522,589,281,286,240,801,12551,2568,0.20499999821186066,6275.5,5,,5,279.40427272727277,558.8085454545455
7f5fc836865,2,25,25010,1,5,1,1,1,1,3,9,21,0,31,0,1,4,0,0,0,0,0,0,1,0,0,0,5230,138,218,1137,184,105,175,8,87,74,116,121,7593,5230,0.6890000104904175,1518.5999755859375,2,,2,279.40427272727277,1397.0213636363637
81141bfdd7a,2,25,25002,2,4,1,5,3,2,3,5,11,1,11,1,1,2,0,1,0,1,0,1,1,1,1,0,4692,96,1081,5002,621,486,1194,700,564,1603,300,1299,17638,4692,0.26600000262260437,4409.5,5,4,,466.8641877702285,1867.456751080914
8252da08a64,2,25,25002,2,3,1,4,2,6,3,1,11,1,11,1,1,2,0,1,1,1,1,1,1,0,1,0,2695,43,883,4423,689,402,2507,687,475,1019,552,908,15283,2695,0.17599999904632568,5094.33349609375,5,4,,466.8641877702285,1400.5925633106856
83a29e2cfd1,2,25,25043,1,2,1,4,2,6,3,1,61,0,11,1,1,2,1,1,1,0,1,1,1,0,1,0,3877,56,930,6495,1420,505,4174,1344,537,632,729,1151,21850,3877,0.1770000010728836,10925.0,5,,5,279.40427272727277,558.8085454545455
85cc07a6d49,2,25,25043,1,3,3,3,2,2,3,1,21,0,12,1,1,2,0,0,0,0,1,1,1,1,0,0,1723,12,231,2061,86,110,212,69,35,98,73,361,5071,1723,0.3400000035762787,1690.3333740234375,2,,3,279.40427272727277,838.2128181818183
871185937ca,2,25,25002,2,4,2,3,2,2,3,5,11,1,11,1,1,1,0,1,1,0,0,1,1,1,1,0,3853,172,1539,6376,1094,294,3761,921,935,1409,861,2478,23693,3853,0.16300000250339508,5923.25,5,5,,466.8641877702285,1867.456751080914
87b5d2b9f7e,2,25,25002,2,3,1,3,2,2,3,5,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,3836,122,798,3984,434,312,1151,741,424,398,342,1135,13677,3836,0.2800000011920929,4559.0,5,4,,466.8641877702285,1400.5925633106856
8f7676dab68,2,25,25031,1,8,1,2,1,1,5,5,43,0,31,0,0,4,0,0,0,0,0,0,0,1,0,0,3413,228,427,318,261,80,250,45,90,188,117,133,5550,3413,0.6150000095367432,693.75,1,,1,470.23921717171726,3761.913737373738
903b85810e5,2,25,25005,1,4,1,1,1,1,3,5,32,0,23,2,0,4,0,0,0,0,0,0,0,0,0,0,4622,247,242,1169,268,89,155,0,45,72,162,178,7249,4622,0.6380000114440918,1812.25,2,,3,418.1933232323232,1672.773292929293
955ee0a0a95,2,25,25005,1,7,1,1,1,1,5,7,43,0,31,0,0,4,0,0,0,0,0,0,0,0,0,0,3423,220,303,329,248,60,143,28,51,119,107,94,5125,3423,0.6679999828338623,732.1428833007812,1,,1,418.1933232323232,2927.3532626262627
9c5234948b6,2,25,25031,1,7,1,2,1,1,3,7,43,0,23,2,0,6,0,0,0,0,0,0,0,1,0,0,4311,395,462,750,449,181,177,22,60,117,74,200,7198,4311,0.5989999771118164,1028.2857666015625,1,,1,470.23921717171726,3291.6745202020206
a16c40c6780,2,25,25002,2,4,1,3,2,6,3,1,11,1,11,1,1,2,1,1,1,0,1,1,1,0,1,0,4097,51,1258,5710,1325,534,3019,1411,766,2468,820,1208,22667,4097,0.1809999942779541,5666.75,5,5,,466.8641877702285,1867.456751080914
a4baef5fcda,2,25,25002,2,5,1,3,3,2,3,1,21,0,21,2,1,2,1,1,1,1,0,1,1,1,1,0,5173,72,987,5774,607,551,3541,1320,403,733,605,1187,20953,5173,0.24699999392032623,4190.60009765625,4,4,,466.8641877702285,2334.3209388511427
a50943b893b,2,25,25043,1,2,3,5,2,2,3,1,11,1,22,2,1,5,0,1,0,0,0,1,1,0,0,0,2374,48,560,3346,245,104,391,249,160,593,398,592,9060,2374,0.2619999945163727,4530.0,5,,5,279.40427272727277,558.8085454545455
a84c6211f3b,2,25,25005,1,7,1,4,2,1,5,5,21,0,31,0,1,4,0,1,0,1,0,0,0,1,0,0,4566,168,511,355,323,179,372,123,120,191,77,145,7130,4566,0.6399999856948853,1018.5714111328125,1,,1,418.1933232323232,2927.3532626262627
a8eb394ad17,2,25,25005,1,7,1,3,2,2,3,1,21,0,31,0,1,4,0,1,0,1,1,0,1,1,0,0,6392,160,1219,3749,468,304,1029,267,532,1169,509,795,16593,6392,0.38499999046325684,2370.428466796875,3,,4,418.1933232323232,2927.3532626262627
a96c2e08805,2,25,25031,1,9,1,4,3,2,3,5,21,0,31,0,1,4,0,0,0,1,0,0,0,0,0,0,6535,330,375,1349,265,181,398,27,148,226,92,215,10141,6535,0.6439999938011169,1126.77783203125,1,,1,470.23921717171726,4232.152954545455
ae1531cc210,2,25,25031,1,7,1,3,2,1,3,9,21,0,21,2,1,2,0,0,0,0,0,1,1,1,0,0,3679,39,680,2336,190,133,280,47,79,450,261,760,8934,3679,0.41200000047683716,1276.2857666015625,1,,2,470.23921717171726,3291.6745202020206
b0ff347aa12,2,25,25043,1,1,3,11,5,2,4,5,21,0,31,0,1,1,0,1,1,0,0,0,1,1,1,0,797,56,303,874,374,52,4307,179,290,82,140,745,8199,797,0.09700000286102295,8199.0,5,,5,279.40427272727277,279.40427272727277
b2359234af2,2,25,25043,1,2,1,4,1,6,3,1,11,1,11,1,1,2,1,1,1,0,1,1,1,1,1,0,3824,63,1030,6817,1706,537,4447,1623,691,711,687,1274,23410,3824,0.16300000250339508,11705.0,5,,5,279.40427272727277,558.8085454545455
b259e3c5dac,2,25,25005,1,5,1,1,1,1,2,7,43,0,31,0,0,4,1,1,0,0,0,0,0,0,0,0,5693,152,309,684,241,96,402,226,168,103,154,93,8321,5693,0.6840000152587891,1664.199951171875,2,,3,418.1933232323232,2090.966616161616
b4ca518b97b,2,25,25010,1,7,1,5,2,2,2,5,42,0,31,0,0,4,0,1,1,0,0,0,0,0,1,0,8061,307,901,1055,505,156,6313,506,417,593,253,400,19467,8061,0.414000004529953,2781.0,4,,5,279.40427272727277,1955.8299090909095
ba83e4bc8f0,2,25,25010,1,6,1,5,4,1,5,5,21,0,21,2,1,4,0,0,0,0,0,0,0,0,0,0,3302,129,234,653,229,117,129,12,45,108,68,113,5139,3302,0.6430000066757202,856.5,1,,1,279.40427272727277,1676.4256363636366
bb3999c2ae8,2,25,25031,1,6,1,4,1,1,3,7,11,1,31,0,0,4,0,0,0,0,0,0,0,0,0,0,3339,238,189,1048,166,88,105,12,41,91,21,136,5474,3339,0.6100000143051147,912.3333129882812,1,,1,470.23921717171726,2821.4353030303037
bc2efa3544b,2,25,25010,1,5,1,1,1,2,3,5,42,0,22,2,1,4,0,1,0,0,0,0,1,0,1,0,7716,246,523,1460,401,195,1296,187,416,316,690,202,13648,7716,0.5649999976158142,2729.60009765625,4,,4,279.40427272727277,1397.0213636363637
c4033fecd2a,2,25,25031,1,8,1,2,1,1,5,7,32,0,31,0,0,4,0,1,0,0,0,0,0,1,0,0,6695,255,647,425,546,123,436,379,169,277,278,269,10499,6695,0.6380000114440918,1312.375,1,,2,470.23921717171726,3761.913737373738
c53ca400d29,2,25,25010,1,5,1,1,1,1,2,5,32,0,31,0,1,4,0,1,0,0,1,1,1,0,0,0,6217,72,375,1071,557,205,765,115,471,136,320,210,10514,6217,0.5910000205039978,2102.800048828125,3,,4,279.40427272727277,1397.0213636363637
c920c38bad4,2,25,25043,1,2,1,5,1,6,3,5,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,5759,112,1085,8980,2278,417,3051,1668,477,719,1074,1516,27136,5759,0.21199999749660492,13568.0,5,,5,279.40427272727277,558.8085454545455
c9a9b5aa3e2,2,25,25010,1,6,1,3,2,2,5,9,21,0,31,0,1,4,0,0,0,0,0,0,0,0,0,0,4173,258,374,302,306,70,176,35,55,214,98,128,6189,4173,0.6740000247955322,1031.5,1,,1,279.40427272727277,1676.4256363636366
c9f4220a4e8,2,25,25010,1,5,1,1,1,2,2,5,42,0,31,0,1,4,0,1,0,0,1,0,0,0,0,0,5505,129,314,683,239,136,768,173,281,145,315,96,8784,5505,0.6269999742507935,1756.800048828125,2,,3,279.40427272727277,1397.0213636363637
ce3789ddf30,2,25,25043,1,2,1,4,2,2,5,6,11,1,21,2,1,2,0,1,1,0,0,1,1,1,1,0,3105,49,500,2377,1249,334,3023,357,621,109,149,601,12474,3105,0.24899999797344208,6237.0,5,,5,279.40427272727277,558.8085454545455
d0db698fb02,2,25,25043,1,1,2,9,4,6,2,5,11,1,12,1,0,4,0,1,0,0,0,1,1,1,1,0,2418,159,482,2143,530,58,447,424,221,62,180,572,7696,2418,0.3140000104904175,7696.0,5,,5,279.40427272727277,279.40427272727277
d5ee826e219,2,25,25031,1,7,1,2,1,1,2,7,11,1,31,0,0,4,0,0,0,0,0,0,0,1,0,0,6536,91,211,880,135,117,225,11,57,46,30,46,8385,6536,0.7789999842643738,1197.857177734375,1,,2,470.23921717171726,3291.6745202020206
d63ba3b2a2d,2,25,25005,1,6,1,1,1,1,5,5,21,0,13,1,1,4,0,1,0,1,0,0,0,1,0,0,3483,29,414,443,472,237,291,33,187,121,73,165,5948,3483,0.5860000252723694,991.3333129882812,1,,1,418.1933232323232,2509.1599393939396
d73477e64d9,2,25,25005,1,5,1,2,1,1,4,5,21,0,31,0,1,4,0,1,0,0,0,1,1,1,1,0,5597,61,688,768,965,204,816,433,479,638,516,372,11537,5597,0.48500001430511475,2307.39990234375,3,,4,418.1933232323232,2090.966616161616
d87ba49c63b,2,25,25005,1,7,1,5,3,1,5,7,11,1,21,2,1,4,0,0,0,0,0,0,0,1,0,0,4208,68,524,1294,338,174,245,15,82,306,229,232,7715,4208,0.5450000166893005,1102.142822265625,1,,1,418.1933232323232,2927.3532626262627
d9f71093d50,2,25,25010,1,7,1,4,2,1,1,7,21,0,31,0,1,4,0,1,0,0,1,1,1,1,1,0,7392,182,941,1420,1328,443,1366,226,1280,516,327,486,15907,7392,0.4650000035762787,2272.428466796875,3,,4,279.40427272727277,1955.8299090909095
da91e712b60,2,25,25010,1,7,1,1,1,1,5,5,43,0,31,0,0,4,0,1,0,0,0,0,0,1,0,0,3786,159,388,222,273,65,268,194,86,189,182,140,5952,3786,0.6359999775886536,850.2857055664062,1,,1,279.40427272727277,1955.8299090909095
daa615e0822,2,25,25010,1,7,3,4,2,1,2,8,43,0,31,0,0,4,0,0,0,0,0,0,0,1,0,0,7841,463,394,994,383,225,299,41,69,118,36,127,10990,7841,0.7129999995231628,1570.0,2,,3,279.40427272727277,1955.8299090909095
dd565a218fc,2,25,25043,1,2,1,3,2,2,3,1,11,1,11,1,1,2,1,0,0,0,1,1,1,1,0,0,1912,23,279,2338,235,133,319,570,100,100,117,422,6548,1912,0.2919999957084656,3274.0,4,,5,279.40427272727277,558.8085454545455
dfb84181b96,2,25,25010,1,6,1,1,1,1,2,5,42,0,22,2,1,4,0,0,0,0,0,0,0,1,0,0,4575,33,195,837,461,49,131,16,44,95,651,222,7309,4575,0.6259999871253967,1218.1666259765625,1,,2,279.40427272727277,1676.4256363636366
e0012d6cc29,2,25,25031,1,9,1,2,2,1,4,5,43,0,31,0,0,2,0,0,0,0,0,0,0,0,0,0,5371,20,632,2034,509,86,213,31,75,376,1366,422,11135,5371,0.4819999933242798,1237.22216796875,1,,2,470.23921717171726,4232.152954545455
e095cdc7f8f,2,25,25002,2,4,2,3,2,6,3,1,71,0,11,1,1,2,1,1,1,1,1,1,1,1,1,0,5017,69,1564,6131,1276,554,3944,1449,794,2346,1054,1430,25628,5017,0.19599999487400055,6407.0,5,5,,466.8641877702285,1867.456751080914
e1cbcd2f1ed,2,25,25002,2,4,1,4,3,6,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,4289,73,1474,6284,1388,608,3927,1671,991,2558,758,1359,25380,4289,0.16899999976158142,6345.0,5,5,,466.8641877702285,1867.456751080914
e361cc64a42,2,25,25043,1,1,1,4,1,6,3,1,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,1413,38,454,3423,393,147,591,525,189,103,279,506,8061,1413,0.17499999701976776,8061.0,5,,5,279.40427272727277,279.40427272727277
e78183aeb67,2,25,25002,2,5,1,2,2,2,3,1,11,1,11,1,1,2,0,1,0,0,1,1,1,1,1,1,3007,17,545,2683,213,319,409,348,172,679,157,635,9184,3007,0.3269999921321869,1836.800048828125,2,1,,466.8641877702285,2334.3209388511427
e8cacf778d8,2,25,25005,1,6,1,1,1,1,2,5,43,0,31,0,0,4,0,1,0,0,0,0,0,1,0,0,6753,201,324,639,271,133,667,231,226,60,157,83,9745,6753,0.6930000185966492,1624.1666259765625,2,,3,418.1933232323232,2509.1599393939396
e9a79b5ec13,2,25,25043,1,2,1,5,3,1,3,1,21,0,21,2,1,4,1,1,1,1,0,1,1,1,1,0,3597,95,690,5424,740,325,2185,730,257,469,717,1065,16294,3597,0.22100000083446503,8147.0,5,,5,279.40427272727277,558.8085454545455
ef6285924cd,2,25,25043,1,2,1,4,2,2,3,1,11,1,21,2,1,2,1,0,1,0,0,0,1,1,1,0,2079,38,329,2854,285,202,1474,493,124,144,177,446,8645,2079,0.23999999463558197,4322.5,5,,5,279.40427272727277,558.8085454545455
f010cb4b8cd,2,25,25010,1,7,1,4,3,1,2,5,41,0,14,1,1,4,0,0,0,0,1,1,0,0,0,0,6939,73,730,1208,1309,527,770,27,434,184,108,697,13006,6939,0.5339999794960022,1858.0,2,,3,279.40427272727277,1955.8299090909095
f1d644c93ab,2,25,25043,1,2,1,6,3,6,3,1,21,0,11,1,1,2,1,1,1,0,1,1,1,1,1,0,4263,73,1116,7835,1882,569,5272,1563,682,675,900,1382,26212,4263,0.16300000250339508,13106.0,5,,5,279.40427272727277,558.8085454545455
f6b4703a462,2,25,25031,1,10,1,2,1,1,2,5,11,1,96,2,1,4,0,0,0,0,0,0,0,1,0,0,6278,36,421,1176,476,143,201,14,46,113,474,425,9803,6278,0.6399999856948853,980.2999877929688,1,,1,470.23921717171726,4702.3921717171725
f6b73c0146d,2,25,25031,1,8,1,2,2,1,2,7,21,0,31,0,1,4,0,0,0,0,0,0,0,0,0,0,8244,103,210,931,218,210,271,0,93,61,67,59,10467,8244,0.7879999876022339,1308.375,1,,2,470.23921717171726,3761.913737373738
f7daf043eaa,2,25,25005,1,7,1,1,1,1,8,5,43,0,31,0,0,4,1,0,0,0,0,0,0,1,0,0,7657,205,303,781,341,114,362,78,164,133,288,78,10504,7657,0.7289999723434448,1500.5714111328125,2,,2,418.1933232323232,2927.3532626262627
f847098fa30,2,25,25002,2,4,1,5,3,2,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,4995,74,1442,6435,1303,808,3705,2024,1030,2678,470,1578,26542,4995,0.18799999356269836,6635.5,5,5,,466.8641877702285,1867.456751080914
fef66f02a73,2,25,25002,2,3,1,5,3,6,3,1,11,1,21,2,1,5,0,1,1,0,0,1,1,1,1,0,2536,59,855,4707,570,174,1607,414,430,1130,822,973,14277,2536,0.17800000309944153,4759.0,5,4,,466.8641877702285,1400.5925633106856
012149a609a,2,26,26016,1,3,1,2,1,2,3,1,21,0,21,2,1,4,0,0,0,0,0,0,0,0,0,0,3053,97,481,2191,182,103,269,33,76,483,236,579,7783,3053,0.3919999897480011,2594.333251953125,3,,4,351.5380555555556,1054.6141666666667
0355d9656c6,2,26,26016,1,5,1,2,2,1,3,1,21,0,31,0,1,2,0,0,0,1,0,0,1,1,0,0,2102,12,511,1821,107,133,225,28,57,497,168,545,6206,2102,0.33899998664855957,1241.199951171875,1,,2,351.5380555555556,1757.6902777777782
0564aa1d781,2,26,26041,1,5,1,3,2,1,5,5,43,0,31,0,0,4,0,0,0,0,0,0,1,1,0,0,4749,375,618,543,434,140,465,63,176,285,164,160,8172,4749,0.5809999704360962,1634.4000244140625,2,,3,299.49216161616164,1497.4608080808082
0cb54c6e697,2,26,26016,1,4,1,4,2,1,3,5,21,0,22,2,1,4,0,0,0,0,0,0,0,1,0,0,3944,346,156,1119,188,165,142,10,39,31,40,208,6388,3944,0.6169999837875366,1597.0,2,,3,351.5380555555556,1406.1522222222225
10c2d838c63,2,26,26016,1,5,3,2,1,1,2,5,96,0,23,2,0,4,0,1,0,0,0,0,0,0,0,0,5219,161,337,1160,261,95,394,193,113,59,268,181,8441,5219,0.6179999709129333,1688.199951171875,2,,3,351.5380555555556,1757.6902777777782
12b613c9bde,2,26,26016,1,3,1,2,1,1,2,5,43,0,22,2,1,4,0,1,0,0,0,0,0,1,0,0,3213,120,244,660,192,94,289,114,109,45,199,153,5432,3213,0.5910000205039978,1810.6666259765625,2,,3,351.5380555555556,1054.6141666666667
2354f8cd49c,2,26,26032,1,2,1,1,1,1,3,5,21,0,13,1,1,4,0,0,0,0,0,0,1,1,0,0,2577,30,270,1276,204,89,206,21,74,23,113,422,5305,2577,0.4860000014305115,2652.5,3,,4,401.7577777777778,803.5155555555556
2cedf23a75d,2,26,26016,1,5,1,1,1,1,2,5,43,0,31,0,0,4,0,0,0,0,0,0,0,0,0,0,6511,121,135,873,144,92,215,10,43,13,54,31,8242,6511,0.7900000214576721,1648.4000244140625,2,,3,351.5380555555556,1757.6902777777782
32e93d87957,2,26,26041,1,4,3,1,1,1,5,7,43,0,31,0,0,5,0,0,0,0,0,0,0,0,0,0,2764,144,262,424,261,46,137,58,44,78,194,130,4542,2764,0.609000027179718,1135.5,1,,1,299.49216161616164,1197.9686464646466
352e0a22b7e,2,26,26032,1,2,3,2,1,2,3,5,11,1,11,1,1,3,0,1,0,0,0,0,0,1,1,0,1277,90,437,1156,233,95,264,288,129,26,75,422,4492,1277,0.2840000092983246,2246.0,3,,4,401.7577777777778,803.5155555555556
3632e23e6ee,2,26,26041,1,4,1,2,2,2,3,5,11,1,96,2,1,4,0,0,0,0,0,1,1,1,0,0,3719,71,412,2715,250,106,505,58,112,340,320,390,8998,3719,0.4129999876022339,2249.5,3,,4,299.49216161616164,1197.9686464646466
3702bd1a3bc,2,26,26032,1,3,1,3,2,2,3,1,11,1,21,2,1,2,0,1,0,0,0,1,1,1,1,0,3589,50,733,3399,209,193,578,311,118,466,290,821,10757,3589,0.33399999141693115,3585.666748046875,4,,5,401.7577777777778,1205.2733333333333
3cca3be920f,2,26,26032,1,2,3,2,1,2,3,5,11,1,96,2,1,6,0,1,0,0,0,1,1,0,1,0,2095,48,303,2447,254,155,448,265,114,104,552,461,7246,2095,0.289000004529953,3623.0,4,,5,401.7577777777778,803.5155555555556
41dc287f8dc,2,26,26041,1,5,1,1,1,1,3,5,32,0,31,0,0,4,0,0,0,0,0,0,0,1,0,0,3346,311,185,440,167,54,168,9,39,74,72,70,4935,3346,0.6779999732971191,987.0,1,,1,299.49216161616164,1497.4608080808082
466fb0b8c3b,2,26,26041,1,3,1,3,2,2,5,5,43,0,21,2,1,4,0,0,1,0,0,0,0,1,1,0,2919,78,451,850,243,108,2549,85,88,122,139,336,7968,2919,0.3659999966621399,2656.0,3,,4,299.49216161616164,898.4764848484849
4addc4ba076,2,26,26016,1,5,1,2,1,1,3,9,11,1,23,2,0,4,0,0,0,0,0,0,0,0,0,0,3200,45,300,1254,196,84,106,16,44,155,116,218,5734,3200,0.5580000281333923,1146.800048828125,1,,1,351.5380555555556,1757.6902777777782
526d95547a6,2,26,26032,1,2,2,2,1,6,3,1,11,1,11,1,1,2,0,1,0,0,1,1,1,1,1,0,3133,48,836,3677,410,221,933,626,212,231,391,900,11618,3133,0.27000001072883606,5809.0,5,,5,401.7577777777778,803.5155555555556
551e5299c20,2,26,26041,1,5,1,3,2,2,4,5,21,0,22,2,1,4,0,1,0,0,0,0,0,1,0,0,4457,51,471,569,383,85,296,264,105,283,374,275,7613,4457,0.5849999785423279,1522.5999755859375,2,,2,299.49216161616164,1497.4608080808082
5673069f4fe,2,26,26041,1,3,1,1,1,1,2,8,43,0,31,0,0,4,0,0,0,0,0,0,0,0,0,0,3518,99,152,591,162,60,70,10,16,38,55,51,4822,3518,0.7300000190734863,1607.3333740234375,2,,3,299.49216161616164,898.4764848484849
5692ae54dbd,2,26,26041,1,3,1,4,2,2,3,1,21,0,22,2,0,4,0,1,0,1,0,0,0,1,0,0,3481,151,339,1400,286,142,308,214,90,96,129,311,6947,3481,0.5009999871253967,2315.666748046875,3,,4,299.49216161616164,898.4764848484849
589beff5fb9,2,26,26016,1,4,1,3,2,2,5,6,11,1,31,0,1,4,0,0,1,0,0,0,0,0,0,0,2164,30,413,1137,211,121,720,24,91,166,53,203,5333,2164,0.4059999883174896,1333.25,1,,2,351.5380555555556,1406.1522222222225
58bb92d65f3,2,26,26032,1,1,1,1,1,2,1,5,11,1,22,2,1,4,0,1,1,0,0,0,1,0,1,0,1394,99,296,1140,316,57,2448,262,146,55,354,480,7047,1394,0.1979999989271164,7047.0,5,,5,401.7577777777778,401.7577777777778
5af164481c4,2,26,26016,1,3,1,3,2,1,2,7,42,0,21,2,1,4,0,1,0,0,0,0,1,1,0,0,4153,206,367,1042,287,167,550,174,378,80,256,230,7890,4153,0.5260000228881836,2630.0,3,,4,351.5380555555556,1054.6141666666667
5e27c3b6e7c,2,26,26032,1,2,1,3,1,2,5,9,11,1,31,0,1,4,0,1,0,0,0,1,1,1,1,0,3815,71,704,1267,923,164,588,309,631,125,73,536,9206,3815,0.414000004529953,4603.0,5,,5,401.7577777777778,803.5155555555556
69762397f33,2,26,26032,1,2,1,2,1,2,4,5,71,0,12,1,1,4,1,0,0,0,1,1,1,0,0,0,2648,29,274,1577,486,78,254,541,110,58,200,439,6694,2648,0.3959999978542328,3347.0,4,,5,401.7577777777778,803.5155555555556
6ac508dcfb4,2,26,26032,1,2,1,1,1,2,3,4,12,2,11,1,1,2,0,0,1,0,0,1,1,0,1,0,1665,59,464,2804,337,121,2474,239,166,131,414,709,9583,1665,0.17399999499320984,4791.5,5,,5,401.7577777777778,803.5155555555556
6ac92696963,2,26,26041,1,3,1,1,1,2,3,5,43,0,21,2,1,4,0,0,0,0,0,0,0,1,0,0,4621,155,386,789,222,116,281,18,65,166,250,192,7261,4621,0.6359999775886536,2420.333251953125,3,,4,299.49216161616164,898.4764848484849
